,dt,new_users_count,day_after_install,retained_users_count,retention
198,2020-01-23,70,18.0,1.0,0.014285714285714285
199,2020-01-23,70,22.0,1.0,0.014285714285714285
200,2020-01-23,70,24.0,1.0,0.014285714285714285
201,2020-01-23,70,27.0,2.0,0.02857142857142857
202,2020-01-23,70,34.0,1.0,0.014285714285714285
203,2020-01-23,70,44.0,1.0,0.014285714285714285
204,2020-01-23,70,45.0,1.0,0.014285714285714285
205,2020-01-23,70,49.0,1.0,0.014285714285714285
206,2020-01-23,70,58.0,2.0,0.02857142857142857
207,2020-01-23,70,65.0,2.0,0.02857142857142857
208,2020-01-23,70,73.0,1.0,0.014285714285714285
209,2020-01-23,70,74.0,1.0,0.014285714285714285
210,2020-01-23,70,84.0,2.0,0.02857142857142857
211,2020-01-23,70,88.0,1.0,0.014285714285714285
212,2020-01-23,70,90.0,1.0,0.014285714285714285
213,2020-01-23,70,91.0,1.0,0.014285714285714285
214,2020-01-23,70,94.0,2.0,0.02857142857142857
215,2020-01-23,70,95.0,1.0,0.014285714285714285
216,2020-01-23,70,96.0,2.0,0.02857142857142857
217,2020-01-23,70,97.0,1.0,0.014285714285714285
218,2020-01-23,70,99.0,2.0,0.02857142857142857
219,2020-01-23,70,100.0,3.0,0.04285714285714286
220,2020-01-23,70,102.0,1.0,0.014285714285714285
221,2020-01-23,70,105.0,1.0,0.014285714285714285
222,2020-01-23,70,106.0,1.0,0.014285714285714285
223,2020-01-23,70,107.0,1.0,0.014285714285714285
224,2020-01-23,70,109.0,1.0,0.014285714285714285
225,2020-01-23,70,110.0,2.0,0.02857142857142857
226,2020-01-23,70,111.0,1.0,0.014285714285714285
227,2020-01-23,70,112.0,1.0,0.014285714285714285
228,2020-01-23,70,117.0,2.0,0.02857142857142857
229,2020-01-23,70,118.0,1.0,0.014285714285714285
230,2020-01-23,70,120.0,1.0,0.014285714285714285
231,2020-01-23,70,122.0,1.0,0.014285714285714285
232,2020-01-23,70,123.0,2.0,0.02857142857142857
233,2020-01-23,70,127.0,1.0,0.014285714285714285
234,2020-01-23,70,130.0,1.0,0.014285714285714285
235,2020-01-23,70,131.0,1.0,0.014285714285714285
236,2020-01-23,70,132.0,1.0,0.014285714285714285
237,2020-01-23,70,133.0,1.0,0.014285714285714285
238,2020-01-23,70,135.0,2.0,0.02857142857142857
239,2020-01-23,70,137.0,4.0,0.05714285714285714
240,2020-01-23,70,138.0,2.0,0.02857142857142857
241,2020-01-23,70,142.0,1.0,0.014285714285714285
242,2020-01-23,70,143.0,2.0,0.02857142857142857
243,2020-01-23,70,148.0,1.0,0.014285714285714285
244,2020-01-23,70,150.0,1.0,0.014285714285714285
245,2020-01-23,70,156.0,2.0,0.02857142857142857
246,2020-01-23,70,158.0,2.0,0.02857142857142857
247,2020-01-24,85,1.0,6.0,0.07058823529411765
248,2020-01-24,85,2.0,8.0,0.09411764705882353
249,2020-01-24,85,3.0,5.0,0.058823529411764705
250,2020-01-24,85,4.0,3.0,0.03529411764705882
251,2020-01-24,85,5.0,4.0,0.047058823529411764
252,2020-01-24,85,6.0,3.0,0.03529411764705882
253,2020-01-24,85,8.0,3.0,0.03529411764705882
254,2020-01-24,85,9.0,2.0,0.023529411764705882
255,2020-01-24,85,27.0,1.0,0.011764705882352941
